Hold,Features,Left,Right
1,100001,1,1
2,31200,3,2
3,21000,5,5
4,12100,4,3
5,142210,4,2
6,13100,1,1
7,12100,2,2
8,13100,2,2
9,131000,2,1
10,122210,0,1
11,33300,3,3
12,41000,1,0
13,22200,3,3
14,123210,3,4
15,33000,1,1
16,113110,1,1
17,14101,2,2
18,14100,4,3
19,1310,1,2
20,22100,1,1
21,13100,4,4
22,12100,2,3
23,1000,9,9
24,222210,6,7
25,13100,2,2
26,12101,4,4
27,1310,3,3
28,13100,4,4
29,100002,6,3
30,13100,3,3
31,143100,4,2
32,13100,6,5
33,144400,4,4
34,101520,3,5
35,24203,6,6
36,23001,4,5
37,22220,3,3
38,13100,5,5
39,124100,4,4
40,2001,4,4
50,114210,3,3
51,234210,3,3
52,1510,1,1
53,252000,5,3
54,16101,4,4
55,163300,3,5
56,153300,7,6
57,1610,3,5
58,1002,2,6
59,36300,7,7
60,1410,2,3
61,351002,2,5
62,153100,8,3
63,51,2,3
64,161000,6,4
65,1410,5,5
66,273310,6,6
67,3000,6,6
68,26201,4,4
69,152510,6,6
70,14100,6,6
71,252100,5,3
72,15100,5,4
73,27200,7,7
74,425240,6,6
75,6440,5,2
76,15100,8,8
77,253102,5,3
78,1510,4,5
79,171000,7,3
80,400003,7,6
81,1003,7,7
82,24720,8,8
83,2620,3,6
84,262000,7,6
85,234300,4,4
86,25200,9,9
87,258520,9,9
88,46400,5,5
89,549411,8,7
90,58500,7,7
91,26920,9,9
92,12100,1,1
93,125210,3,3
94,33300,4,3
95,14100,2,1
96,13100,1,1
97,12200,3,3
98,13100,2,2
99,375200,9,9
100,135210,4,4
101,135410,4,4
102,1410,2,3
103,16100,4,4
104,135310,5,5
105,162000,3,2
106,144410,4,4
107,43300,2,3
108,263100,3,3
109,1410,3,4
110,1710,6,7
111,22200,6,3
112,263100,5,3
113,15100,5,5
114,151000,4,4
115,134310,4,4
116,1510,3,3
117,450,4,2
118,1610,5,6
119,151001,5,5
120,14100,6,6
121,15100,7,7
122,24200,8,8
123,262000,7,2
124,2720,3,7
125,14100,5,5
126,23721,2,1
127,625260,4,4
128,1510,5,6
129,341002,5,3
130,382000,5,5
131,1410,3,5
132,14510,6,6
133,152000,8,3
134,330003,6,4
135,131000,6,2
136,268620,4,4
137,126210,4,4
138,282000,8,3
139,34730,5,5
140,4940,8,9
141,449421,8,8
142,14100,3,3
143,123210,1,1
144,2620,2,4
145,1310,3,4
146,13100,3,3
147,153000,3,1
148,252000,8,6
149,2420,3,4
